pincode,city,state
110001,New Delhi,Delhi
110002,New Delhi,Delhi
110003,New Delhi,Delhi
400001,Mumbai,Maharashtra
400002,Mumbai,Maharashtra
400003,Mumbai,Maharashtra
560001,Bangalore,Karnataka
560002,Bangalore,Karnataka
560003,Bangalore,Karnataka
600001,Chennai,Tamil Nadu
600002,Chennai,Tamil Nadu
600003,Chennai,Tamil Nadu
700001,Kolkata,West Bengal
700002,Kolkata,West Bengal
700003,Kolkata,West Bengal
380001,Ahmedabad,Gujarat
380002,Ahmedabad,Gujarat
380003,Ahmedabad,Gujarat
500001,Hyderabad,Telangana
500002,Hyderabad,Telangana
500003,Hyderabad,Telangana
411001,Pune,Maharashtra
411002,Pune,Maharashtra
411003,Pune,Maharashtra
302001,Jaipur,Rajasthan
302002,Jaipur,Rajasthan
302003,Jaipur,Rajasthan
